2017-03-14 14:04:39.854 [最新]接收到逐笔数据：要求的大单数据起始序号：10880
2017-03-14 14:04:56.160 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:45,1995,1400
2017-03-14 14:04:56.177 [最新]接收到逐笔数据：要求的大单数据起始序号：10944
2017-03-14 14:04:56.179 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:42,1993,600
2017-03-14 14:04:56.179 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:45,1993,3300
2017-03-14 14:04:56.179 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:45,1993,1000
2017-03-14 14:04:56.179 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:45,1994,1300
2017-03-14 14:04:56.179 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:45,1994,200
2017-03-14 14:04:56.179 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:45,1994,1000
2017-03-14 14:04:56.179 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:45,1994,2500
2017-03-14 14:04:56.180 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:45,1994,100
2017-03-14 14:04:56.180 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:45,1994,1800
2017-03-14 14:04:56.180 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:45,1994,2000
2017-03-14 14:04:56.180 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:45,1995,10600
2017-03-14 14:04:56.181 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:45,1995,500
2017-03-14 14:04:56.181 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:45,1995,600
2017-03-14 14:04:56.181 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:45,1995,100
2017-03-14 14:04:56.181 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:45,1995,1400
2017-03-14 14:04:56.182 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:46,1993,2800
2017-03-14 14:04:58.011 [最新]接收到逐笔数据：要求的大单数据起始序号：10960
2017-03-14 14:04:58.012 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:47,1993,2000
2017-03-14 14:04:58.108 [最新]接收到逐笔数据：要求的大单数据起始序号：10944
2017-03-14 14:04:58.109 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:42,1993,600
2017-03-14 14:04:58.109 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:45,1993,3300
2017-03-14 14:04:58.109 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:45,1993,1000
2017-03-14 14:04:58.110 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:45,1994,1300
2017-03-14 14:04:58.110 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:45,1994,200
2017-03-14 14:04:58.110 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:45,1994,1000
2017-03-14 14:04:58.111 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:45,1994,2500
2017-03-14 14:04:58.111 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:45,1994,100
2017-03-14 14:04:58.111 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:45,1994,1800
2017-03-14 14:04:58.111 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:45,1994,2000
2017-03-14 14:04:58.112 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:45,1995,10600
2017-03-14 14:04:58.112 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:45,1995,500
2017-03-14 14:04:58.112 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:45,1995,600
2017-03-14 14:04:58.113 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:45,1995,100
2017-03-14 14:04:58.113 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:45,1995,1400
2017-03-14 14:04:58.113 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:46,1993,2800
2017-03-14 14:04:58.114 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:47,1993,2000
2017-03-14 14:04:58.114 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:48,1993,800
2017-03-14 14:04:58.114 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:48,1992,-500
2017-03-14 14:04:59.730 [最新]接收到逐笔数据：要求的大单数据起始序号：10963
