2017-03-14 14:04:39.713 [最新]接收到逐笔数据：要求的大单数据起始序号：27200
2017-03-14 14:04:59.804 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:51,2164,-1400
2017-03-14 14:04:59.804 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:51,2164,-100
2017-03-14 14:04:59.805 [最新]接收到逐笔数据：要求的大单数据起始序号：27264
2017-03-14 14:04:59.806 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:42,2165,400
2017-03-14 14:04:59.806 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:43,2165,500
2017-03-14 14:04:59.806 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:43,2165,300
2017-03-14 14:04:59.806 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:43,2165,100
2017-03-14 14:04:59.806 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:44,2164,-200
2017-03-14 14:04:59.807 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:44,2164,-4400
2017-03-14 14:04:59.807 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:44,2164,-100
2017-03-14 14:04:59.807 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:49,2165,100
2017-03-14 14:04:59.807 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:51,2164,-100
2017-03-14 14:04:59.808 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:51,2164,-1400
2017-03-14 14:04:59.808 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:51,2164,-100
2017-03-14 14:04:59.808 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:51,2164,-200
2017-03-14 14:04:59.808 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:51,2164,-900
